"26.0","28.0","30.0","32.0","30.0","28.0","30.0","32.0","34.0","36.0","38.0","40.0","42.0","44.0","46.0","48.0","50.0","52.0","54.0","56.0","58.0","60.0","62.0","64.0","66.0","68.0","70.0","72.0","74.0","76.0","78.0","80.0","82.0","84.0","86.0","88.0","90.0","92.0","94.0","96.0","94.0","92.0","90.0","88.0","86.0",
"28.0","30.0","32.0","34.0","32.0","30.0","32.0","34.0","36.0","38.0","40.0","42.0","44.0","46.0","48.0","50.0","52.0","54.0","56.0","58.0","60.0","62.0","64.0","66.0","68.0","70.0","72.0","74.0","76.0","78.0","80.0","82.0","84.0","86.0","88.0","90.0","92.0","94.0","96.0","98.0","96.0","94.0","92.0","90.0","88.0",
"30.0","32.0","34.0","36.0","34.0","32.0","34.0","36.0","38.0","40.0","42.0","44.0","46.0","48.0","50.0","52.0","54.0","56.0","58.0","60.0","62.0","64.0","66.0","68.0","70.0","72.0","74.0","76.0","78.0","80.0","82.0","84.0","86.0","88.0","90.0","92.0","94.0","96.0","98.0","100.0","98.0","96.0","94.0","92.0","90.0",
"32.0","34.0","36.0","38.0","36.0","34.0","36.0","38.0","40.0","42.0","44.0","46.0","48.0","50.0","52.0","54.0","56.0","58.0","60.0","62.0","64.0","66.0","68.0","70.0","72.0","74.0","76.0","78.0","80.0","82.0","84.0","86.0","88.0","90.0","92.0","94.0","96.0","98.0","100.0","102.0","100.0","98.0","96.0","94.0","92.0",
"34.0","36.0","38.0","40.0","38.0","36.0","38.0","40.0","42.0","50.0","46.0","48.0","50.0","52.0","54.0","56.0","58.0","60.0","62.0","64.0","66.0","68.0","70.0","72.0","74.0","76.0","78.0","80.0","82.0","84.0","86.0","88.0","90.0","92.0","94.0","96.0","98.0","100.0","102.0","104.0","102.0","100.0","98.0","96.0","94.0",
"36.0","38.0","40.0","42.0","40.0","38.0","40.0","42.0","50.0","60.0","50.0","50.0","52.0","54.0","56.0","58.0","60.0","62.0","64.0","66.0","68.0","70.0","72.0","74.0","76.0","78.0","80.0","82.0","84.0","86.0","88.0","90.0","92.0","94.0","96.0","98.0","100.0","102.0","104.0","106.0","104.0","102.0","100.0","98.0","96.0",
"38.0","40.0","42.0","44.0","42.0","40.0","42.0","50.0","60.0","70.0","60.0","52.0","54.0","56.0","58.0","60.0","62.0","64.0","66.0","68.0","70.0","72.0","74.0","76.0","78.0","80.0","82.0","84.0","86.0","88.0","90.0","92.0","94.0","96.0","98.0","100.0","102.0","104.0","106.0","108.0","106.0","104.0","102.0","100.0","98.0",
"40.0","42.0","44.0","46.0","44.0","42.0","50.0","60.0","70.0","80.0","70.0","60.0","56.0","58.0","60.0","62.0","64.0","66.0","68.0","70.0","72.0","74.0","76.0","78.0","80.0","82.0","84.0","86.0","88.0","90.0","92.0","94.0","96.0","98.0","100.0","102.0","104.0","106.0","108.0","110.0","108.0","106.0","104.0","102.0","100.0",
"42.0","44.0","46.0","48.0","46.0","50.0","60.0","70.0","80.0","90.0","80.0","70.0","60.0","60.0","62.0","64.0","66.0","68.0","70.0","72.0","74.0","76.0","78.0","80.0","82.0","84.0","86.0","88.0","90.0","92.0","94.0","96.0","98.0","100.0","102.0","104.0","106.0","108.0","110.0","112.0","110.0","108.0","106.0","104.0","102.0",
"44.0","46.0","48.0","50.0","50.0","60.0","70.0","80.0","90.0","100.0","90.0","80.0","70.0","62.0","64.0","66.0","68.0","70.0","72.0","74.0","76.0","78.0","80.0","82.0","84.0","86.0","88.0","90.0","92.0","94.0","96.0","98.0","100.0","102.0","104.0","106.0","108.0","110.0","112.0","114.0","112.0","110.0","108.0","106.0","104.0",
